발생원인_기타,피해면적_합계,화재시간,latitude ,longitude,기온,풍속,습도,강수량,임목존재코드,임종코드,임상코드,수종그룹코드,ta,ws,hm,pa,pv,td,ts,dc10Tca,dc10LmcsCa,시도,시군구,읍면동리,피해금액
688,0.9400072584914712,3.0,37.29342222222222,128.25600833333334,13.8,9.4,48.0,0.0,1.0,2.0,1.0,11.0,21.1,3.7,33.0,924.5,8.2,4.1,29.6,1.0,1.0,강원,영월,무릉도원,70499824
233,0.0953101798043248,1.0,37.99158333333333,127.0476861111111,17.1,12.2,40.0,0.0,1.0,2.0,2.0,34.0,19.7,1.6,38.0,999.8,8.7,4.9,26.4,5.0,0.0,경기,연천,백학,9076598
270,0.2231435513142097,1.0,37.20601666666667,126.67361111111111,16.0,14.4,40.0,0.0,1.0,2.0,2.0,30.0,25.8,2.6,23.0,994.2,7.6,3.0,32.3,0.0,0.0,경기,화성,서신,16556129
767,0.0295588022415443,2.0,36.314569444444444,126.58424444444444,15.9,10.1,62.0,0.0,1.0,2.0,1.0,11.0,22.3,1.5,37.0,1007.9,9.9,6.8,17.6,6.0,0.0,충남,보령,남포,5229485
767,0.0582689081239757,2.0,37.87560555555556,127.04554166666668,19.7,11.2,42.0,0.0,1.0,2.0,2.0,30.0,25.1,3.6,27.0,1000.9,8.5,4.7,25.8,4.0,0.0,경기,양주,은현,6909313
767,0.0769610411361283,2.0,36.257397222222224,126.66588055555556,15.9,10.1,62.0,0.0,1.0,2.0,2.0,32.0,28.7,1.9,19.0,1006.9,7.4,2.7,34.2,7.0,0.0,충남,보령,요암,8002990
767,0.6626879730752367,3.0,37.82164722222223,128.10269444444444,17.8,7.2,44.0,0.0,1.0,2.0,1.0,11.0,29.4,0.9,21.0,1004.5,8.5,4.7,33.7,2.0,1.2687422166874225,강원,홍천,내촌,50273873
767,0.0953101798043248,2.0,37.93565555555555,127.17616111111111,19.7,11.2,42.0,0.0,1.0,2.0,2.0,34.0,29.4,2.3,17.0,1001.8,6.9,1.7,36.2,2.0,0.0,경기,포천,신북,9076598
767,0.4317824164255378,2.0,35.23773055555556,127.15256944444444,16.2,16.6,60.0,0.0,1.0,2.0,1.0,11.0,25.2,2.8,29.0,1009.9,9.2,5.8,25.7,8.0,4.0,전남,곡성,겸,32763589
793,0.0295588022415443,2.0,36.56907222222223,126.59738333333333,15.1,14.0,68.0,0.01,1.0,2.0,1.0,11.0,19.7,0.9,42.0,1010.2,9.6,6.4,15.3,0.0,0.0,충남,홍성,은하,5229485
270,0.5364933705145685,2.0,37.5106,128.05828611111113,17.6,7.6,50.0,0.0,1.0,1.0,1.0,11.0,22.3,3.0,27.0,928.9,7.2,2.3,28.7,0.0,0.0,강원,횡성,우천,38890227
828,1.635105659182678,4.0,37.78650555555556,126.93801666666668,18.1,11.9,46.0,0.0,1.0,2.0,2.0,34.0,27.2,2.7,13.0,1002.4,4.7,-3.6,34.5,0.0,0.0,경기,파주,광탄,119170032
793,0.3220834991691133,1.0,36.013825,127.72090277777778,16.5,5.8,60.0,0.0,2.0,0.0,0.0,82.0,26.4,1.9,32.0,1008.9,10.9,8.3,28.5,0.0,0.0,전북,무주,설천,26345105
